t_ms,ohm_Thumb,ohm_Index,ohm_Middle,ohm_Ring,ohm_Little,ema_Thumb,ema_Index,ema_Middle,ema_Ring,ema_Little,label
2356229,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915574390152,33.35806988310926,33.35753815068038,33.35808681882259,33.25547007779066,No
2356329,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.115387000000005,33.35915580792614,33.358341412331946,33.35794261301029,33.35835411411695,33.220449308343,No
2356429,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.115387000000005,33.35915585594461,33.35854505924896,33.35824595975772,33.35855458558771,33.19418373125725,No
2356529,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915589195846,33.35869779443672,33.35847346981829,33.35870493919079,33.23542679844294,No
2356629,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359155918968845,33.358812345827545,33.35864410236372,33.35881770439309,33.266359098832204,No
2356729,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915593922664,33.35889825937066,33.358772076772794,33.35890227829482,33.28955832412416,No
2356829,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915595441998,33.358962694527996,33.3588680575796,33.358965708721115,33.30695774309312,No
2356929,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915596581499,33.359011020896,33.3589400431847,33.35901328154084,33.32000730731984,No
2357029,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359155974361244,33.359047265672004,33.35899403238853,33.35904896115563,33.32979448048988,No
2357129,33.359156000000006,33.359156000000006,33.359156000000006,33.115387000000005,33.359156000000006,33.359155980770936,33.359074449254,33.3590345242914,33.29813347086672,33.337134860367414,No
2357229,33.359156000000006,33.359156000000006,33.359156000000006,33.115387000000005,30.23077,33.359155985578205,33.35909483694051,33.35906489321855,33.25244685315004,32.56054364527556,No
2357329,32.637932,32.404109,31.5,31.945945,29.245342,33.178849989183654,33.12034837770538,32.894298669913915,32.92582138986253,31.73174323395667,No
2357429,30.852943,30.852943,30.23077,29.829113,27.447369,32.597373241887745,32.55349703327904,32.22841650243544,32.151644292396895,30.6606496754675,No
2357529,28.8681,29.055557,28.319277,27.789938999999997,25.549182000000002,31.66505493141581,31.679012024959277,31.251131626826577,31.061217969297672,29.382782756600626,No
2357629,27.964285,28.140719,27.789938999999997,27.789938999999997,25.848066,30.73986244856186,30.79443876871946,30.385833470119934,30.243398226973255,28.499103567450472,No
2357729,29.4375,29.829113,29.632076,30.028662,27.964285,30.414271836421392,30.553107326539596,30.19739410258995,30.18971417022994,28.365398925587854,No
2357829,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.721477,31.150492877316047,31.254619494904702,30.98783457694246,30.98207462767246,29.204418444190893,No
2357929,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.702658657987037,31.780753621178526,31.580664932706846,31.57634497075435,30.24310283314317,No
2358029,33.359156000000006,33.359156000000006,33.115387000000005,33.359156000000006,33.115387000000005,32.11678299349028,32.1753542158839,31.964345449530136,32.022047728065765,30.96117387485738,No
2358129,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.945945,32.42737624511771,32.471304661912924,32.31304808714761,32.35632479604933,31.207366656143034,No
2358229,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.5,32.660321183838285,32.69326749643469,32.574575065360705,32.607032597037,31.280524992107274,No
2358329,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,32.404109,32.83502988787872,32.859739622326025,32.77072029902053,32.79506344777775,31.561420994080457,No
