t_ms,raw_Thumb,raw_Index,raw_Middle,raw_Ring,raw_Little,ema_Thumb,ema_Index,ema_Middle,ema_Ring,ema_Little,label
3087829,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359153478220755,33.359153478220755,33.359153478220755,33.359153478220755,33.359153478220755,Please
3087929,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915410866557,33.35915410866557,33.35915410866557,33.35915410866557,33.35915410866557,Please
3088029,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915458149918,33.35915458149918,33.35915458149918,33.35915458149918,33.35915458149918,Please
3088129,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915493612439,33.35915493612439,33.35915493612439,33.35915493612439,33.35915493612439,Please
3088229,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.3591552020933,33.3591552020933,33.3591552020933,33.3591552020933,33.3591552020933,Please
3088329,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915540156998,33.35915540156998,33.35915540156998,33.35915540156998,33.35915540156998,Please
3088429,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915555117749,33.35915555117749,33.35915555117749,33.35915555117749,33.35915555117749,Please
3088529,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915566338312,33.35915566338312,33.35915566338312,33.35915566338312,33.35915566338312,Please
3088629,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915574753734,33.35915574753734,33.35915574753734,33.35915574753734,33.35915574753734,Please
3088729,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915581065301,33.35915581065301,33.35915581065301,33.35915581065301,33.35915581065301,Please
3088829,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359155857989755,33.359155857989755,33.359155857989755,33.359155857989755,33.359155857989755,Please
3088929,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915589349232,33.35915589349232,33.35915589349232,33.35915589349232,33.35915589349232,Please
3089029,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915592011924,33.35915592011924,33.35915592011924,33.35915592011924,33.35915592011924,Please
3089129,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915594008944,33.35915594008944,33.35915594008944,33.35915594008944,33.35915594008944,Please
3089229,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915595506708,33.35915595506708,33.35915595506708,33.35915595506708,33.35915595506708,Please
3089329,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359155966300314,33.359155966300314,33.359155966300314,33.359155966300314,33.359155966300314,Please
3089429,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.35915597472524,33.35915597472524,33.35915597472524,33.35915597472524,33.35915597472524,Please
3089529,33.115387000000005,32.875,33.359156000000006,33.359156000000006,32.173471,33.29821373104393,33.23811698104393,33.35915598104393,33.35915598104393,33.06273473104393,Please
3089629,33.115387000000005,33.359156000000006,33.359156000000006,33.359156000000006,31.945945,33.25250704828295,33.26837673578295,33.359155985782955,33.359155985782955,32.78353729828295,Please
3089729,33.359156000000006,33.359156000000006,33.359156000000006,33.115387000000005,31.5,33.279169286212216,33.29107155183721,33.35915598933722,33.298213739337214,32.46265297371221,Please
3089829,33.115387000000005,33.115387000000005,33.359156000000006,33.115387000000005,30.642857,33.23822371465916,33.24715041387791,33.35915599200292,33.252507054502914,32.007703980284155,Please
3089929,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.268456785994374,33.27515181040844,33.359155994002194,33.279169290877185,32.34556698521312,Please
3090029,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.291131589495784,33.296152857806334,33.359155995501645,33.299165968157894,32.59896423890984,Please
3090129,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.30813769212184,33.31190364335475,33.359155996626235,33.31416347611842,32.789012179182386,Please
3090229,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.32089226909138,33.32371673251607,33.35915599746968,33.32541160708882,32.931548134386794,Please
3090329,33.359156000000006,33.359156000000006,33.359156000000006,32.637932,30.642857,33.33045820181854,33.332576549387056,33.35915599810226,33.15354170531661,32.359375350790096,Please
3090429,31.5,31.945945,32.173471,31.5,29.055557,32.8728436513639,32.98591866204029,33.062734748576695,32.740156278987456,31.533420763092572,Please
